timestamp,arrivals,departures
2023-12-31 00:00:00+00:00,0,1
2024-01-01 00:00:00+00:00,121,122
2024-01-02 00:00:00+00:00,119,119
2024-01-03 00:00:00+00:00,121,119
2024-01-04 00:00:00+00:00,127,127
2024-01-05 00:00:00+00:00,137,137
2024-01-06 00:00:00+00:00,139,139
2024-01-07 00:00:00+00:00,124,123
2024-01-08 00:00:00+00:00,114,111
2024-01-09 00:00:00+00:00,77,80
2024-01-10 00:00:00+00:00,73,73
2024-01-11 00:00:00+00:00,89,86
2024-01-12 00:00:00+00:00,121,122
2024-01-13 00:00:00+00:00,118,116
2024-01-14 00:00:00+00:00,118,117
2024-01-15 00:00:00+00:00,110,105
2024-01-16 00:00:00+00:00,71,74
2024-01-17 00:00:00+00:00,72,73
2024-01-18 00:00:00+00:00,85,83
2024-01-19 00:00:00+00:00,118,121
2024-01-20 00:00:00+00:00,117,116
2024-01-21 00:00:00+00:00,114,113
2024-01-22 00:00:00+00:00,101,90
2024-01-23 00:00:00+00:00,78,80
2024-01-24 00:00:00+00:00,73,70
2024-01-25 00:00:00+00:00,83,83
2024-01-26 00:00:00+00:00,115,115
2024-01-27 00:00:00+00:00,119,118
2024-01-28 00:00:00+00:00,113,111
2024-01-29 00:00:00+00:00,104,104
2024-01-30 00:00:00+00:00,74,75
2024-01-31 00:00:00+00:00,68,69
2024-02-01 00:00:00+00:00,81,80
2024-02-02 00:00:00+00:00,116,113
2024-02-03 00:00:00+00:00,118,121
2024-02-04 00:00:00+00:00,122,120
2024-02-05 00:00:00+00:00,107,108
2024-02-06 00:00:00+00:00,79,77
2024-02-07 00:00:00+00:00,77,76
2024-02-08 00:00:00+00:00,89,87
2024-02-09 00:00:00+00:00,122,121
2024-02-10 00:00:00+00:00,141,140
2024-02-11 00:00:00+00:00,124,120
2024-02-12 00:00:00+00:00,115,115
2024-02-13 00:00:00+00:00,86,87
2024-02-14 00:00:00+00:00,95,94
2024-02-15 00:00:00+00:00,101,96
2024-02-16 00:00:00+00:00,129,130
2024-02-17 00:00:00+00:00,136,134
2024-02-18 00:00:00+00:00,127,126
2024-02-19 00:00:00+00:00,119,122
2024-02-20 00:00:00+00:00,92,90
2024-02-21 00:00:00+00:00,94,95
2024-02-22 00:00:00+00:00,99,100
2024-02-23 00:00:00+00:00,130,127
